timestamp,flux_nA
2025-11-02T07:32:06.221,0.39
2025-11-02T07:32:06.727,0.36
2025-11-02T07:32:07.223,0.41
2025-11-02T07:32:07.738,0.37
2025-11-02T07:32:08.250,0.4
2025-11-02T07:32:08.753,0.4
2025-11-02T07:32:09.259,0.39
2025-11-02T07:32:09.768,0.37
2025-11-02T07:32:10.277,0.39
2025-11-02T07:32:10.776,0.37
2025-11-02T07:32:11.279,0.36
2025-11-02T07:32:11.776,0.4
2025-11-02T07:32:12.271,0.4
2025-11-02T07:32:12.782,0.35
2025-11-02T07:32:13.290,0.4
2025-11-02T07:32:13.796,0.36
2025-11-02T07:32:14.304,0.37
2025-11-02T07:32:14.804,0.35
2025-11-02T07:32:15.295,0.37
2025-11-02T07:32:15.817,0.37
2025-11-02T07:32:16.321,0.37
2025-11-02T07:32:16.834,0.35
2025-11-02T07:32:17.341,0.38
2025-11-02T07:32:17.835,0.4
2025-11-02T07:32:18.343,0.36
2025-11-02T07:32:18.836,0.38
2025-11-02T07:32:19.334,0.35
2025-11-02T07:32:19.838,0.35
2025-11-02T07:32:20.332,0.37
2025-11-02T07:32:20.830,0.37
2025-11-02T07:32:21.334,0.35
2025-11-02T07:32:21.832,0.39
2025-11-02T07:32:22.329,0.37
2025-11-02T07:32:22.842,0.38
2025-11-02T07:32:23.331,0.35
2025-11-02T07:32:23.831,0.35
2025-11-02T07:32:24.351,0.37
2025-11-02T07:32:24.836,0.31
2025-11-02T07:32:25.334,0.1
2025-11-02T07:32:25.843,0.07
2025-11-02T07:32:26.336,0.08
2025-11-02T07:32:26.829,0.08
2025-11-02T07:32:27.327,0.08
2025-11-02T07:32:27.828,0.07
2025-11-02T07:32:28.348,0.07
2025-11-02T07:32:28.845,0.08
2025-11-02T07:32:29.355,-0.06
2025-11-02T07:32:29.840,-0.06
2025-11-02T07:32:30.350,0.06
2025-11-02T07:32:30.854,0.07
2025-11-02T07:32:31.361,0.09
2025-11-02T07:32:31.858,0.08
2025-11-02T07:32:32.356,0.05
2025-11-02T07:32:32.844,0.08
2025-11-02T07:32:33.362,0.08
2025-11-02T07:32:33.875,0.07
2025-11-02T07:32:34.366,0.06
2025-11-02T07:32:34.887,-0.06
2025-11-02T07:32:35.385,0.06
2025-11-02T07:32:35.885,0.09
2025-11-02T07:32:37.355,0.07
2025-11-02T07:32:37.505,-0.07
2025-11-02T07:32:38.607,-0.05
2025-11-02T07:32:39.869,-0.09
2025-11-02T07:32:40.002,-0.09
2025-11-02T07:32:41.142,-0.09
2025-11-02T07:32:41.414,-0.09
2025-11-02T07:32:41.912,-0.09
2025-11-02T07:32:42.413,-0.09
2025-11-02T07:32:42.920,-0.1
2025-11-02T07:32:44.044,-0.1
2025-11-02T07:32:44.411,-0.1
2025-11-02T07:32:44.909,-0.11
2025-11-02T07:32:45.400,-0.08
2025-11-02T07:32:45.914,-0.09
2025-11-02T07:32:46.414,-0.1
2025-11-02T07:32:46.912,-0.1
2025-11-02T07:32:47.423,-0.1
2025-11-02T07:32:47.924,-0.1
2025-11-02T07:32:48.439,-0.08
2025-11-02T07:32:48.937,-0.1
2025-11-02T07:32:49.437,-0.09
2025-11-02T07:32:49.939,-0.09
2025-11-02T07:32:50.454,-0.1
2025-11-02T07:32:50.962,-0.1
2025-11-02T07:32:51.476,-0.1
2025-11-02T07:32:51.957,-0.09
2025-11-02T07:32:52.461,-0.08
2025-11-02T07:32:52.951,-0.09
2025-11-02T07:32:53.482,-0.09
2025-11-02T07:32:53.973,-0.08
2025-11-02T07:32:55.120,-0.07
2025-11-02T07:32:55.474,-0.07
2025-11-02T07:32:55.983,-0.1
2025-11-02T07:32:56.496,-0.07
2025-11-02T07:32:56.996,-0.08
